user_id,Date_most_recent,Transaction_count,Amount,Recency_score,Frequency_score,Monetary_score,RFM_score,y,coordinate.lat,coordinate.lng,task.0.item.0.item_name,VAR00001,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007,VAR00008
590481ba836872e942579688,2/7/2018,1,10.09,1,2,1,121,3,3.114531,101.773444,CC30\tChinese Cuisine - Butter Chicken Rice 奶油鸡饭 (Mon Closed), , , , , , , , 
590481ba836872e9425796a4,3/10/2018,2,20.34,3,3,1,331,3,3.197681,101.71101,CT128 Yang Zhou Fried Rice, , , , , , , , 
590481ba836872e9425796a4,3/10/2018,2,20.34,3,3,1,331,3,3.197616,101.710995,TS001 Taiwan Signature Braised Pork Rice 台湾卤肉饭, , , , , , , , 
590481ba836872e9425796b3,2/13/2018,1,19.93,1,2,2,122,3,3.204546,101.720712,Butter Style Rice, , , , , , , , 
590481ba836872e9425796f2,3/8/2018,2,28.4,3,3,2,332,3,3.224758,101.728511,CC02\tChinese cuisine - Marmite Style Meat with Rice (12PM-8PM), , , , , , , , 
590481ba836872e9425796f2,3/8/2018,2,28.4,3,3,2,332,3,3.22457,101.728511,FP04 Daddys Pan Mee (Dry), , , , , , , , 
590481ba836872e942579706,2/7/2018,1,20.03,1,2,2,122,3,3.215135,101.726545,CCC3 6 Pcs Tender + Choo Choo Rice Set, , , , , , , , 
590481ba836872e94257971b,3/11/2018,1,22.05,3,2,3,323,3,3.217119,101.738936,F16 Minced Pork Rice, , , , , , , , 
590481ba836872e942579721,3/10/2018,1,16.85,3,2,2,322,3,3.198904,101.721366,BN14-枫味香辣炸鸡便当 Spicy Chicken Bento, , , , , , , , 
590481ba836872e94257972f,3/25/2018,1,10.07,5,1,1,511,3,3.224251,101.728823,TS001 Taiwan Signature Braised Pork Rice 台湾卤肉饭, , , , , , , , 
59048232836872e942579a64,3/8/2018,2,28.4,3,3,2,332,3,3.201425,101.714889,BN1-枫味卤肉便当 Braised Pork Bento, , , , , , , , 
59048232836872e942579a64,3/8/2018,2,28.4,3,3,2,332,3,3.201522,101.715012,Kam Heong Fried Rice, , , , , , , , 
59048232836872e942579a6a,2/13/2018,1,11.55,1,2,1,121,3,3.204186,101.715123,M28 Minced Pork Noodle, , , , , , , , 
59048232836872e942579b21,3/6/2018,1,20.03,3,2,3,323,3,3.202201,101.716899,CCC1 4 Pcs Wing + Choo Choo Rice Set, , , , , , , , 
59048232836872e942579b35,3/24/2018,1,9.43,4,2,1,421,3,3.217272,101.73245,WT-04 Wan Tan Mee (Soup (SAT OFF), , , , , , , , 
59048232836872e942579b38,3/21/2018,1,11.55,4,2,1,421,3,3.1994,101.721486,F15 Braised Pork Rice, , , , , , , , 
59048232836872e942579b4b,2/21/2018,1,10.49,2,2,1,221,3,3.20323,101.721178,TFR01 Fried Rice Chicken, , , , , , , , 
59048232836872e942579bda,3/26/2018,2,30.21,5,3,1,531,3,3.20189,101.716898,TN01 Tomato Mee, , , , , , , , 
59048232836872e942579bda,3/26/2018,2,30.21,5,3,1,531,3,3.202076,101.716904,LSK-06\tMango Maruko 芒果小丸子, , , , , , , , 
59048232836872e942579c06,2/26/2018,1,4.77,2,2,1,221,3,3.201757,101.715055,PSK752 Plain Porridge, , , , , , , , 
59048232836872e942579c33,3/27/2018,1,16.85,5,1,2,512,3,3.196761,101.719081,BN9-枫味盐酥鸡便当 Fried Chicken Bento, , , , , , , , 
59048232836872e942579c53,3/10/2018,1,14.73,3,2,2,322,3,3.194007,101.736522,BN1-枫味卤肉便当 Braised Pork Bento, , , , , , , , 
59048232836872e942579ccc,2/14/2018,1,13.67,1,2,1,121,3,3.211341,101.712586,BN1-枫味卤肉便当 Braised Pork Bento, , , , , , , , 
59048232836872e942579cd6,2/3/2018,1,16.85,1,2,2,122,3,3.201757,101.715055,BN9-枫味盐酥鸡便当 Fried Chicken Bento, , , , , , , , 
59048232836872e942579d0e,2/26/2018,2,23.96,2,4,1,241,3,3.201757,101.715055,TC01 Paprik Chicken, , , , , , , , 
59048232836872e942579d0e,2/26/2018,2,23.96,2,4,1,241,3,3.201757,101.715055,TFR06 Thai Cuisine - Fried Rice Bangkok (thursday off) (12PM-8PM), , , , , , , , 
59048232836872e942579d32,2/4/2018,1,12.19,1,2,1,121,3,3.202161,101.716259,HT-NasiLemak03\tNasi Lemak Fried Chicken Thigh With Egg (SAT OFF), , , , , , , , 
59048232836872e942579d36,3/4/2018,1,11.55,2,2,1,221,3,3.201933,101.716903,F16 Minced Pork Rice, , , , , , , , 
59048232836872e942579d50,3/10/2018,1,12.61,3,2,2,322,3,3.201583,101.717097,CC01\tChinese cuisine - Butter Style Meat with Rice (12PM-8PM), , , , , , , , 
59048232836872e942579d53,3/22/2018,1,12.61,4,2,1,421,3,3.200677,101.71125,TS002 Taiwan  Special Sausage Fried Rice 台湾香肠炒饭, , , , , , , , 
59048267836872e942579d71,2/1/2018,1,16.85,1,2,2,122,3,3.202161,101.716259,BN4 枫味猪扒便当 Pork Chop Bento ( NOT AVAILABLE ), , , , , , , , 
59048267836872e942579db7,3/22/2018,1,16.85,4,2,2,422,3,3.182753,101.71675,BN9-枫味盐酥鸡便当 Fried Chicken Bento, , , , , , , , 
59048267836872e942579e55,3/10/2018,1,9.01,3,2,1,321,3,3.199767,101.709485,CW101-Chong Hwa Curry Noodles, , , , , , , , 
59048267836872e942579e58,3/22/2018,2,29.04,4,3,1,431,3,3.211507,101.712605,BN1-枫味卤肉便当 Braised Pork Bento, , , , , , , , 
59048267836872e942579e58,3/22/2018,2,29.04,4,3,1,431,3,3.211506,101.712605,FP05 Minced Meat Pan Mee (Dry), , , , , , , , 
59048267836872e942579e5f,2/26/2018,1,10.49,2,2,1,221,3,3.204186,101.715123,KT-01\tFried Rice, , , , , , , , 
59048267836872e942579e62,2/1/2018,1,18.97,1,2,2,122,3,3.211516,101.735499,BN4 枫味猪扒便当 Pork Chop Bento ( NOT AVAILABLE ), , , , , , , , 
59048267836872e942579e77,2/2/2018,1,19.63,1,2,2,122,3,3.213732,101.729276,CT133 Chicken Chop Rice, , , , , , , , 
59048267836872e942579ec0,3/9/2018,1,11.79,3,2,1,321,3,3.204069,101.735693,W002 Butter Chicken Chop Rice, , , , , , , , 
59048267836872e942579ec5,3/22/2018,2,31.59,4,3,2,432,3,3.198819,101.721355,TFR05 Thai Cuisine - Fried Rice Nyonya (thursday off) (12PM-8PM), , , , , , , , 
59048267836872e942579ec5,3/22/2018,2,31.59,4,3,2,432,3,3.1994,101.721486,"PSK321 Cream Sauce Spaghetti ( With pork Ham, Cheese and Mushroom )", , , , , , , , 
